id,session_id,total_events,started_at,finished_at,inserted_at
1000020357016,1000000168786,1,2019-01-05 00:51:33.694000000,2019-01-05 00:51:33.694000000,2019-01-05 00:51:35.760000000
1000020357032,1000000162999,1,2019-01-05 00:51:35.550000000,2019-01-05 00:51:35.550000000,2019-01-05 00:51:40.124000000
1000020357034,1000000169093,1,2019-01-05 00:51:34.804000000,2019-01-05 00:51:34.804000000,2019-01-05 00:51:35.700000000
1000020357039,1000000167854,1,2019-01-05 00:51:34.219000000,2019-01-05 00:51:34.219000000,2019-01-05 00:51:35.230000000
1000020357040,1000000164923,1,2019-01-05 00:51:35.311000000,2019-01-05 00:51:35.311000000,2019-01-05 00:51:40.192000000
1000020357042,1000000163956,1,2019-01-05 00:51:35.842000000,2019-01-05 00:51:35.842000000,2019-01-05 00:51:40.194000000
1000020357043,1000000166932,1,2019-01-05 00:51:35.841000000,2019-01-05 00:51:35.841000000,2019-01-05 00:51:40.188000000
1000020357045,1000000160981,1,2019-01-05 00:51:36.890000000,2019-01-05 00:51:36.890000000,2019-01-05 00:51:40.360000000
1000020357049,1000000168794,1,2019-01-05 00:51:36.464000000,2019-01-05 00:51:36.464000000,2019-01-05 00:51:40.222000000
1000020357055,1000000156939,8,2019-01-05 00:51:37.954000000,2019-01-05 00:51:57.871000000,2019-01-05 00:52:00.135000000
1000020357069,1000000172018,1,2019-01-05 00:51:37.688000000,2019-01-05 00:51:37.688000000,2019-01-05 00:51:40.198000000
1000020357073,1000000164854,1,2019-01-05 00:51:38.700000000,2019-01-05 00:51:38.700000000,2019-01-05 00:51:40.400000000
1000020357085,1000000168784,1,2019-01-05 00:51:38.449000000,2019-01-05 00:51:38.449000000,2019-01-05 00:51:40.280000000
1000020357092,1000000163957,1,2019-01-05 00:51:39.261000000,2019-01-05 00:51:39.261000000,2019-01-05 00:51:40.253000000
1000020357094,1000000156896,1,2019-01-05 00:51:39.240000000,2019-01-05 00:51:39.240000000,2019-01-05 00:51:40.430000000
1000020357095,1000000173031,1,2019-01-05 00:51:39.143000000,2019-01-05 00:51:39.143000000,2019-01-05 00:51:40.131000000
1000020357098,1000000156927,1,2019-01-05 00:51:39.191000000,2019-01-05 00:51:39.191000000,2019-01-05 00:51:40.110000000
1000020357099,1000000174029,1,2019-01-05 00:51:39.664000000,2019-01-05 00:51:39.664000000,2019-01-05 00:51:40.111000000
1000020357105,1000000172046,1,2019-01-05 00:51:39.888000000,2019-01-05 00:51:39.888000000,2019-01-05 00:51:40.440000000
1000020357108,1000000162995,1,2019-01-05 00:51:40.360000000,2019-01-05 00:51:40.360000000,2019-01-05 00:51:45.273000000
